"req_df_br",""
11001,24.8085632324219
11002,25.3801593780518
11003,24.6645946502686
11004,24.5507850646973
11005,24.8552799224854
11006,24.7771587371826
11007,23.9022960662842
11008,25.7254257202148
12001,25.2258758544922
12002,25.1702842712402
12003,25.3498764038086
12004,25.4943008422852
12005,25.2591228485107
13001,24.4335269927979
13002,24.394229888916
13003,24.6896915435791
13004,24.6745567321777
13005,24.1520137786865
13006,24.4104232788086
13007,25.3751811981201
13008,25.1556816101074
13009,26.0296440124512
13010,25.3819599151611
13011,25.1167373657227
13012,24.7678642272949
13013,24.4732627868652
14001,23.5965976715088
14002,24.6237392425537
14003,24.5498561859131
14004,24.7783641815186
15001,24.2795486450195
15002,24.8029289245605
15003,24.156759262085
15004,25.4239673614502
15005,25.3610439300537
15006,25.602180480957
15007,26.0828056335449
15008,26.211145401001
15009,26.0051555633545
15010,26.2354469299316
15011,25.8403186798096
15012,26.1915740966797
15013,26.545051574707
15014,24.7238616943359
15015,24.6465454101562
15016,25.4362087249756
15017,25.8672409057617
15018,24.625301361084
15019,24.9429588317871
15020,25.1744937896729
15021,25.9355354309082
15022,25.9253940582275
16001,24.1653232574463
16002,24.5301475524902
16003,24.2078685760498
16004,23.8518962860107
17001,26.2321910858154
17002,26.2037696838379
17003,26.4521408081055
17004,26.7002468109131
17005,26.9497566223145
17006,26.6187782287598
17007,25.7280597686768
17008,25.9475345611572
21001,26.9590969085693
21002,26.9308738708496
21003,26.907054901123
21004,27.0812015533447
21005,27.1170215606689
21006,26.9446182250977
21007,26.6460361480713
21008,26.2089309692383
21009,25.6872673034668
21010,26.7731170654297
21011,25.6189079284668
21012,26.0331134796143
21013,27.572229385376
21014,27.2737903594971
21015,26.4945259094238
21016,26.8992118835449
21017,26.2207946777344
21018,25.3962841033936
21019,26.3448390960693
21020,25.7211036682129
21021,25.6172313690186
22001,27.9215679168701
22002,28.0729293823242
22003,27.062816619873
22004,27.5360336303711
22005,26.4259204864502
22006,26.425464630127
22007,25.5874481201172
22008,25.8376922607422
22009,26.6848735809326
22010,25.2753429412842
22011,24.8768444061279
22012,25.4181175231934
22013,26.7070083618164
22014,25.4988784790039
22015,26.1852245330811
23001,27.7406673431396
23002,26.8176383972168
23003,27.7682609558105
23004,27.8542079925537
23005,27.4274845123291
23006,26.8682155609131
23007,27.5634117126465
23008,27.3744525909424
23009,27.5112762451172
23010,27.341365814209
23011,27.457462310791
23012,27.0689029693604
23013,26.7549152374268
23014,26.9666767120361
23015,27.0641956329346
23016,26.8278789520264
23017,26.6192378997803
23018,27.5069942474365
23019,27.5213680267334
23020,26.5295448303223
23021,28.1996021270752
23022,27.7603244781494
23023,28.480339050293
23024,29.2998580932617
23025,28.8847579956055
23026,28.7129611968994
23027,27.082633972168
23028,28.4239368438721
23029,24.7911205291748
23030,26.7186412811279
23031,27.1280632019043
23032,25.0950546264648
23033,26.001932144165
24001,28.0030860900879
24002,28.4553108215332
24003,28.0309143066406
24004,27.5785884857178
24005,28.5048370361328
24006,28.4898204803467
24007,28.1035194396973
24008,27.488956451416
24009,26.6186771392822
24010,26.5043048858643
24011,28.4719047546387
24012,26.2838706970215
24013,26.5555458068848
24014,25.3985538482666
24015,25.8413848876953
24016,26.2136631011963
24017,25.627477645874
24018,NA
24019,25.4431056976318
25001,28.4440326690674
25002,28.3645668029785
25003,29.0819416046143
25004,26.7426433563232
25005,28.0980854034424
25006,26.5326614379883
25007,26.0438804626465
25008,26.9687786102295
25009,24.5379085540771
25010,24.915189743042
25011,24.6402282714844
25012,24.0127029418945
25013,23.9492492675781
25014,23.9700946807861
25015,23.8488140106201
25016,24.8124961853027
25017,24.2094421386719
25018,24.7582015991211
25019,24.1237754821777
25020,25.079231262207
25021,25.3657264709473
25022,25.296350479126
25023,25.3955478668213
26001,24.4014644622803
26002,24.9508743286133
26003,25.2952404022217
26004,24.9318027496338
26005,25.0694637298584
26006,24.6308345794678
26007,23.9611701965332
26008,23.4670696258545
26009,24.3721160888672
26010,24.3129901885986
26011,23.3872776031494
26012,23.5002536773682
26013,25.2394485473633
26014,24.7889537811279
26015,24.8379154205322
26016,25.202693939209
26017,24.8710899353027
26018,24.8353137969971
26019,NA
27001,24.0429344177246
27002,23.996280670166
27003,24.813591003418
27004,25.6161441802979
27005,24.2723865509033
27006,24.9840145111084
27007,25.2946033477783
27008,23.7606201171875
27009,24.5468349456787
27010,25.3111572265625
27011,24.7535552978516
27012,24.6993656158447
27013,25.2254467010498
28001,24.451602935791
28002,23.6056632995605
28003,24.5152549743652
28004,24.0006237030029
